Date,CompleteTreatment,SyringeNo,Species,Round,Sex,Pre-Weight,Post-Weight,Hours,Minutes,ChmVol,InjVol,TVCO2,TVO2,Treatment,Comment,Line,Mass,Time,Volcorr,O2pHRraw,O2pHR,CO2pHR,RQ,O2pHRpG,CO2pHRpG
NA,HighTempt_Kept,2,DMEL,21,F,0.00139,0.00112,4,5,0.5,0.25,7.22E-05,7.72E-05,HighTemp,,Kept,0.00027,4.08,0.578,4.37E-05,4.45E-05,4.09E-05,0.91900635,0.164631521,0.151297414
NA,Control_Kept,18,DMEL,19,F,0.00101,0.00098,5,5,0.5,0.25,9.49E-05,9.43E-05,Control ,,Kept,0.00003,5.08,0.578,4.29E-05,4.28E-05,4.32E-05,1.00893333,1.426295152,1.439036721
NA,HighTempt_Kept,4,DMEL,21,F,0.00113,0.00093,4,10,0.5,0.25,5.15E-05,5.49E-05,HighTemp,,Kept,0.0002,4.17,0.578,3.04E-05,3.09E-05,2.86E-05,0.92422111,0.154598856,0.142883526
NA,HighTempt_Kept,18,DPSE,14,F,0.00085,0,3,50,0.5,0.25,4.73E-05,4.96E-05,HighTemp,Goestoround14,Kept,0.00085,3.83,0.577,2.99E-05,3.03E-05,2.85E-05,0.94042098,0.035612052,0.033490321
NA,Control_Kept,24,DMEL,20,F,0.00107,0.00098,5,5,0.5,0.25,8.25E-05,8.14E-05,Control ,,Kept,0.00009,5.08,0.578,3.70E-05,3.69E-05,3.75E-05,1.01734016,0.40968014,0.416784061
NA,Control_Kept,22,DMEL,22,M,0.0008,0.00071,4,31,0.5,0.25,9.01E-05,8.80E-05,Control ,,Kept,0.00009,4.52,0.578,4.50E-05,4.47E-05,4.61E-05,1.03048807,0.497059577,0.512213965
NA,HighTempt_Kept,15,DPSE,19,M,0.00087,0.00077,4,59,0.5,0.25,4.99E-05,5.23E-05,HighTemp,,Kept,0.0001,4.98,0.578,2.43E-05,2.46E-05,2.31E-05,0.94162666,0.245586518,0.231250813
NA,HighTempt_Kept,19,DPSE,14,F,0.00099,0,4,15,0.5,0.25,5.70E-05,5.98E-05,HighTemp,,Kept,0.00099,4.25,0.577,3.25E-05,3.29E-05,3.10E-05,0.94217112,0.033205974,0.03128571
NA,HighTempt_Kept,12,DMEL,22,F,0.00131,0.00105,4,8,0.5,0.25,6.39E-05,6.64E-05,HighTemp,,Kept,0.00026,4.13,0.578,3.71E-05,3.75E-05,3.57E-05,0.95326891,0.14421845,0.137478965
NA,Control_Kept,16,DMEL,19,F,0.00113,0.00092,5,1,0.5,0.25,7.71E-05,7.49E-05,Control ,ControlkeptDMEL,Kept,0.00021,5.02,0.578,3.45E-05,3.42E-05,3.55E-05,1.03777483,0.162932793,0.169087552
NA,HighTempt_Kept,15,DPSE,14,F,0.00115,0.00109,4,5,0.5,0.25,5.35E-05,5.54E-05,HighTemp,Needto16confirmwithpostweight,Kept,0.00006,4.08,0.578,3.13E-05,3.16E-05,3.03E-05,0.95798499,0.52691117,0.50477299
NA,HighTempt_Kept,13,DPSE,19,M,0.00083,0.00076,4,55,0.5,0.25,4.69E-05,4.84E-05,HighTemp,,Kept,0.00007,4.92,0.578,2.28E-05,2.29E-05,2.21E-05,0.96108658,0.327795199,0.315039568
NA,HighTempt_Kept,14,DPSE,19,M,0.00092,0.00074,4,57,0.5,0.25,4.75E-05,4.90E-05,HighTemp,,Kept,0.00018,4.95,0.578,2.29E-05,2.31E-05,2.22E-05,0.96189153,0.128229876,0.123343231
NA,Control_Kept,19,DPSE,17,F,0.00137,0.00134,4,9,0.5,0.25,8.21E-05,7.93E-05,Control ,,Kept,0.00003,4.15,0.578,4.42E-05,4.38E-05,4.57E-05,1.04471374,1.459302574,1.524553443
NA,Control_Kept,21,DMEL,22,M,0.00075,0.00064,4,29,0.5,0.25,6.76E-05,6.52E-05,Control ,,Kept,0.00011,4.48,0.578,3.36E-05,3.33E-05,3.48E-05,1.04520344,0.302961468,0.316656368
NA,Control_Kept,24,DMEL,23,F,0.00115,0.00106,4,6,0.5,0.25,8.15E-05,7.83E-05,Control ,,Kept,0.00009,4.1,0.578,4.41E-05,4.36E-05,4.60E-05,1.05342183,0.484873757,0.510776599
NA,Control_Kept,29,DMEL,20,M,0.00074,0.00069,5,17,0.5,0.25,7.78E-05,7.46E-05,Control ,,Kept,0.00005,5.28,0.578,3.26E-05,3.23E-05,3.40E-05,1.05454976,0.645421746,0.680629346
NA,HighTempt_Kept,2,DPSE,18,M,0.0009,0.00087,4,0,0.5,0.25,3.87E-05,3.98E-05,HighTemp,,Kept,0.00003,4,0.578,2.30E-05,2.32E-05,2.24E-05,0.96566043,0.773029851,0.746484337
NA,HighTempt_Kept,1,DMEL,21,F,0.00117,0.00069,4,3,0.5,0.25,7.67E-05,7.84E-05,HighTemp,Diedduringincubation,Kept,0.00048,4.05,0.578,4.47E-05,4.50E-05,4.37E-05,0.97259762,0.093691264,0.0911239
NA,HighTempt_Kept,15,DMEL,22,F,0.00127,0.00085,4,13,0.5,0.25,9.10E-05,9.24E-05,HighTemp,,Kept,0.00042,4.22,0.578,5.06E-05,5.09E-05,4.98E-05,0.97983092,0.12109009,0.118647814
NA,HighTempt_Kept,10,DMEL,21,F,0.00078,0.00052,4,24,0.5,0.25,3.75E-05,3.77E-05,HighTemp,,Kept,0.00026,4.4,0.578,1.98E-05,1.99E-05,1.97E-05,0.99051086,0.076387685,0.075662831
NA,HighTempt_Kept,21,DPSE,14,F,0.0013,,4,20,0.5,0.25,6.82E-05,6.80E-05,HighTemp,Killedatmeasureno2ndweight,Kept,0.0013,4.33,0.577,3.62E-05,3.61E-05,3.63E-05,1.00510382,0.027800295,0.027942183
NA,Control_Kept,20,DMEL,19,F,0.00113,0.0011,5,10,0.5,0.25,9.58E-05,9.16E-05,Control ,,Kept,0.00003,5.17,0.578,4.10E-05,4.05E-05,4.29E-05,1.05875693,1.349443118,1.428732254
NA,Control_Kept,19,DMEL,22,M,0.00072,0.00065,4,23,0.5,0.25,5.64E-05,5.31E-05,Control ,,Kept,0.00007,4.38,0.578,2.80E-05,2.75E-05,2.97E-05,1.07903351,0.393515386,0.424616289
